Strand	Read	Position	nMethylated	nUnmethylated
OB	2	32	9026	3471
OB	1	33	5480	2772
OB	2	33	6840	3155
OB	1	34	5266	2971
OB	2	34	5558	2953
OB	1	35	5820	2939
OB	2	35	9131	3065
OB	1	36	6560	3003
OB	2	36	6275	2780
OB	1	37	5551	2781
OB	2	37	8571	3346
OB	1	38	7706	3209
OB	2	38	5320	2799
OB	1	39	5951	2898
OB	2	39	6245	3076
OB	1	40	8026	2899
OB	2	40	6177	3176
OB	1	41	5234	3022
OB	2	41	5798	3116
OB	1	42	7190	3232
OB	2	42	5690	3040
OB	1	43	7502	3251
OB	2	43	5588	2735
OB	1	44	7605	3276
OB	2	44	6471	3084
OB	1	45	6595	2957
OB	2	45	6165	2834
OB	1	46	5452	2735
OB	2	46	5237	2962
OB	1	47	5050	2807
OB	2	47	5145	2843
OB	1	48	5147	2992
OB	2	48	5271	2971
OB	1	49	5903	3091
OB	2	49	7227	3304
OB	1	50	8611	3154
OB	2	50	5804	2846
OB	1	51	6542	2915
OB	2	51	6207	3172
OB	1	52	6130	2988
OB	2	52	7354	3221
OB	1	53	4997	2658
OB	2	53	5895	2786
OB	1	54	5271	2929
OB	2	54	7489	2761
OB	1	55	4901	2711
OB	2	55	5580	2687
OB	1	56	5162	2673
OB	2	56	7529	2857
OB	1	57	4755	2783
OB	2	57	5994	3137
OB	1	58	12018	4350
OB	2	58	5986	2756
OB	1	59	6848	2872
OB	2	59	6337	3066
OB	1	60	6379	2750
OB	2	60	6782	2845
OB	1	61	5164	2586
OB	2	61	6677	3131
OB	1	62	4995	2483
OB	2	62	7100	2716
OB	1	63	7130	3341
OB	2	63	5773	2797
OB	1	64	4990	2649
OB	2	64	8147	3115
OB	1	65	9352	2949
OB	2	65	5507	2469
OB	1	66	5740	2898
OB	2	66	5397	2499
OB	1	67	8233	2716
OB	2	67	4758	2536
OB	1	68	9172	2890
OB	2	68	6819	2977
OB	1	69	8807	2908
OB	2	69	5419	2756
OB	1	70	6554	2562
OB	2	70	6078	2668
OB	1	71	7437	3193
OB	2	71	4415	2678
OB	1	72	5652	3651
OB	2	72	5838	2394
OB	1	73	2909	1688
OB	2	73	4954	2463
OB	1	74	17172	5973
OB	2	74	5928	2846
OB	1	75	60089	23260
OB	2	75	6466	2712
